1	547	lognorm	(0.07177783631621724, -27.83106179886655, 32.613261648944885)
2	548	gamma	(20.851121835061612, -5.445515246473208, 0.4914325874411447)
3	549	lognorm	(0.05403348867699881, -37.54014651524865, 42.390326724184746)
4	550	lognorm	(0.13973597636992593, -12.213108450667317, 17.015785306268192)
5	551	lognorm	(0.08943263459362322, -21.477643047984643, 26.232660235217267)
6	552	weibull_min	(2.9395228497056047, -1.4245463837327796, 7.008581163022642)
7	553	lognorm	(0.07435188534563139, -26.27821497474026, 31.086800052588814)
8	554	gamma	(45.4475773250535, -11.277924976138678, 0.3525818818497399)
9	555	weibull_min	(2.786849956862373, -1.3748604213299527, 7.01050845898518)
10	556	gamma	(70.12077183989709, -15.547601601971994, 0.2921318335676552)
11	557	lognorm	(0.09761477068821861, -18.45993079766192, 23.364070728416245)
