1;547;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4672073826, 0.4672073826, 0.0], [0.0, -0.4672073826, 0.4672073826], [0.0, 0.0, -0.4672073826]]
2;548;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4620482894, 0.4620482894, 0.0], [0.0, -0.4620482894, 0.4620482894], [0.0, 0.0, -0.4620482894]]
3;549;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4554471424, 0.4554471424, 0.0], [0.0, -0.4554471424, 0.4554471424], [0.0, 0.0, -0.4554471424]]
4;550;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4578544522, 0.4578544522, 0.0], [0.0, -0.4578544522, 0.4578544522], [0.0, 0.0, -0.4578544522]]
5;551;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4540877002, 0.4540877002, 0.0], [0.0, -0.4540877002, 0.4540877002], [0.0, 0.0, -0.4540877002]]
6;552;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4577978229, 0.4577978229, 0.0], [0.0, -0.4577978229, 0.4577978229], [0.0, 0.0, -0.4577978229]]
7;553;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4378620703, 0.4378620703, 0.0], [0.0, -0.4378620703, 0.4378620703], [0.0, 0.0, -0.4378620703]]
8;554;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4594969666, 0.4594969666, 0.0], [0.0, -0.4594969666, 0.4594969666], [0.0, 0.0, -0.4594969666]]
9;555;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4553617172, 0.4553617172, 0.0], [0.0, -0.4553617172, 0.4553617172], [0.0, 0.0, -0.4553617172]]
10;556;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4745656897, 0.4745656897, 0.0], [0.0, -0.4745656897, 0.4745656897], [0.0, 0.0, -0.4745656897]]
11;557;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4495570224, 0.4495570224, 0.0], [0.0, -0.4495570224, 0.4495570224], [0.0, 0.0, -0.4495570224]]
12;558;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.463730826, 0.463730826, 0.0], [0.0, -0.463730826, 0.463730826], [0.0, 0.0, -0.463730826]]
13;559;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4637312905, 0.4637312905, 0.0], [0.0, -0.4637312905, 0.4637312905], [0.0, 0.0, -0.4637312905]]
14;560;145.0;62.11224;[1.0, 0.0, 0.0];[[-0.4540659932, 0.4540659932, 0.0], [0.0, -0.4540659932, 0.4540659932], [0.0, 0.0, -0.4540659932]]
