1	547	gamma	(2391.246740275179, -70.03705488400402, 0.03137709213589426)
2	548	weibull_min	(3.1369549030706456, 0.8590044513238929, 4.505739297365922)
3	549	lognorm	(0.08417560535753138, -12.465933331211838, 17.399987857510745)
4	550	lognorm	(0.013409368039708332, -104.27343451736748, 109.16834470548926)
5	551	weibull_min	(3.165743441813005, 0.4034437023199354, 4.930130988987489)
6	552	weibull_min	(3.9220625493807377, -0.2744753930512739, 5.625938395367585)
7	553	gamma	(17199.835473170213, -191.0439494698578, 0.0113851548850155)
8	554	gamma	(24220.255457912775, -222.31505204061705, 0.009382618612953253)
9	555	gamma	(420.9781299911175, -25.57722611317608, 0.07253626322052345)
10	556	lognorm	(0.02069361460213659, -66.0731538569448, 70.89523327930786)
11	557	lognorm	(0.059695380321901, -20.61091058671149, 25.369489644772536)
12	558	lognorm	(0.016166553153090513, -83.06966713460213, 87.96313381734632)
13	559	gamma	(14515.050754099364, -165.540116056432, 0.011742205221878205)
14	560	lognorm	(0.008364044817351937, -167.12308259562388, 171.96146477857206)
15	561	lognorm	(0.009691238341292544, -148.07406987983325, 152.8454463820098)
16	562	gamma	(23008.894424149214, -213.28832974138618, 0.009484095356610472)
17	563	lognorm	(0.06350634903017169, -18.495548435149004, 23.37613730073678)
18	564	lognorm	(0.05588130699085361, -23.16615868371221, 28.035266979655376)
19	565	gamma	(829.0884875866934, -37.315731054189314, 0.050717320471539706)
20	566	gamma	(61.53320562808724, -6.561224540530837, 0.18534843262593242)
21	567	lognorm	(0.04847143971244307, -26.56790032740755, 31.414865569273086)
22	568	lognorm	(0.009794123774783628, -143.30286056819165, 148.2226653446147)
23	569	gamma	(6913.361603985955, -126.82764793918085, 0.019046018053279545)
24	570	lognorm	(0.008387593125356814, -173.71971642282892, 178.53321041559866)
25	571	weibull_min	(3.9939165332523676, -0.05893318386992976, 5.446200756058627)
26	572	gamma	(520.9650081905197, -29.858442921487033, 0.06675227379065302)
27	573	gamma	(77.79776967393595, -8.18647267151286, 0.1681953263336646)
28	574	lognorm	(0.006489038943620348, -205.01028497627362, 209.90728579957226)
29	575	lognorm	(0.024265725660885643, -50.595396371073505, 55.47462444081948)
30	576	gamma	(6182.035518140978, -106.89766811496457, 0.018090703092857083)
31	577	lognorm	(0.006369593624605815, -226.0348389750461, 230.8281371755843)
32	578	gamma	(991.0007404338066, -41.44369452223495, 0.04684064026212795)
33	579	lognorm	(0.02765423264200807, -49.77118364607742, 54.57725862059921)
34	580	lognorm	(0.013096291758072087, -105.39154828037988, 110.15972814714797)
35	581	weibull_min	(3.40674394956715, 0.1381632755048966, 5.054394499958594)
36	582	gamma	(1660.4183901606639, -57.53158012996958, 0.03758219836556466)
37	583	lognorm	(0.036557575442601464, -36.68325782880406, 41.531248740333396)
38	584	weibull_min	(3.826631740899843, -0.3907643478233622, 5.818707745956078)
39	585	lognorm	(0.08205144051900384, -11.450278667433524, 16.32443343551379)
40	586	gamma	(14504048.798986068, -5521.081910534151, 0.0003809945431882747)
41	587	lognorm	(0.03974232596606152, -31.855254044705667, 36.82405936292653)
42	588	gamma	(87.41956742150708, -8.38742334679603, 0.15269468932092733)
43	589	lognorm	(0.037614223972928656, -34.9592669889346, 39.8285355042007)
44	590	lognorm	(0.036209696478300746, -36.76517444298786, 41.69328116580682)
45	591	weibull_min	(4.2949917269987345, -0.5555187825303398, 5.990966428491312)
46	592	weibull_min	(3.5790675603721644, 0.3088500101293819, 5.053275344105154)
47	593	lognorm	(0.01816011134941424, -81.94855286671776, 86.78732334507293)
48	594	weibull_min	(3.1077785279101082, 0.6236723401230428, 4.845989428022213)
49	595	lognorm	(0.048183487439588044, -24.334671490485306, 29.208055567057784)
50	596	gamma	(8814.466625887748, -134.53220891903425, 0.01580819069687882)
51	597	lognorm	(0.008451651968869621, -171.6069417553304, 176.42351249760304)
52	598	weibull_min	(2.4775962433945704, 1.628881508467395, 3.6513421107525774)
53	599	lognorm	(0.022442732690701683, -61.13654509386271, 66.02000651150719)
54	600	gamma	(27870.811677428013, -247.52306048890813, 0.009061663236821088)
55	601	lognorm	(0.01901499853343646, -70.47503887022214, 75.29003199938418)
56	602	lognorm	(0.016654457390230082, -79.45313476899767, 84.21554644671626)
57	603	lognorm	(0.04645053072878359, -25.208895618320483, 29.949617746059346)
58	604	lognorm	(0.051388097337237315, -25.310069181124945, 30.203989497925626)
59	605	lognorm	(0.12179571781734876, -7.4000008130100134, 12.264722701405024)
60	606	lognorm	(0.07259660734504225, -14.834345842559712, 19.580292281793014)
61	607	gamma	(5205.348652548997, -100.46544394450763, 0.0202236441276022)
62	608	gamma	(169.44844300493747, -15.592008181515126, 0.12061308682633295)
63	609	lognorm	(0.01131503477000929, -119.22586005273267, 124.16893273996709)
64	610	lognorm	(0.05900870092203869, -22.168392023063312, 26.99415010973017)
65	611	lognorm	(0.02392139694926811, -57.88352660547399, 62.755556125661954)
66	612	gamma	(56.64644243826616, -5.401941560386602, 0.18279163261238657)
67	613	gamma	(4548404.069362653, -3086.152255124996, 0.0006795925741700105)
68	614	weibull_min	(3.552718442450744, 0.039837983195856616, 5.319610220491175)
69	615	lognorm	(0.025104553142447555, -54.780184905273615, 59.63458380933665)
70	616	gamma	(1547.411486402435, -53.701329180519195, 0.03779258748110756)
71	617	gamma	(4605.727272757655, -101.1782145991083, 0.023031104279474603)
72	618	weibull_min	(4.5340687685755565, -1.0017369338194735, 6.3475910793194315)
73	619	gamma	(2677.719618821755, -69.98786261053908, 0.027910095760827314)
74	620	lognorm	(0.0527278879537069, -20.117862555519693, 25.09658837156464)
75	621	gamma	(125.51579610132418, -12.184731798721186, 0.13619838179451849)
76	622	lognorm	(0.05361129677834376, -23.91307961835617, 28.740159505600566)
77	623	lognorm	(0.05164471926857474, -23.632334688653927, 28.47103255620489)
78	624	gamma	(674.5522509887917, -34.263904135478114, 0.0579925044933107)
79	625	gamma	(3570.54885691892, -79.34298071379678, 0.02360042664904571)
80	626	lognorm	(0.011042401768254318, -133.13235420937778, 137.86080408697694)
81	627	weibull_min	(4.2663193533079635, -0.5769673436177116, 5.891629490748917)
82	628	lognorm	(0.010749022286714004, -123.96469209836181, 128.83671663667118)
83	629	weibull_min	(3.630574566132709, 0.14339162275035455, 5.239512305771031)
84	630	lognorm	(0.07042736398420799, -16.442076894618417, 21.29042566915365)
85	631	gamma	(2176.0164568649643, -63.92883623686929, 0.03163894215229726)
86	632	lognorm	(0.053164134801264154, -23.943247934611875, 28.72372182491391)
87	633	gamma	(3597.110373503074, -80.98967534093259, 0.023843711346026003)
88	634	gamma	(672.437771822101, -33.52253469005385, 0.057067587607618646)
89	635	lognorm	(0.034614688883070725, -37.6908190882407, 42.54468597872841)
90	636	lognorm	(0.019114607166055675, -72.3185097874155, 77.25535747187723)
91	637	gamma	(3886.9892441144184, -84.68142739360411, 0.023035927390137635)
92	638	gamma	(8170.013173551364, -122.78303164451074, 0.01563667465637409)
93	639	lognorm	(0.011642374834122731, -122.5617997976127, 127.4137636487692)
94	640	weibull_min	(3.6975033880530432, 0.11318315271652024, 5.282826844282049)
95	641	weibull_min	(4.112484914516633, -0.8042809841970493, 6.23563654023304)
96	642	lognorm	(0.014088460300204525, -97.86771984037028, 102.79787578434735)
97	643	lognorm	(0.06277545142844514, -18.37032135018684, 23.2567917083679)
98	644	gamma	(68.74504181223452, -8.217530269722687, 0.1901100358395392)
99	645	gamma	(106277.2094151563, -449.7393153134634, 0.004277486830772956)
100	646	lognorm	(0.10603721662578046, -8.087922435248057, 12.901703964578278)
101	647	lognorm	(0.024755381973741525, -53.87523937724231, 58.735536713962944)
102	648	lognorm	(0.033672097551634694, -37.88341848363551, 42.71998226658637)
103	649	lognorm	(0.12374468150994059, -6.753384622172084, 11.503138356227543)
104	650	gamma	(3565.870343667115, -80.95790812804, 0.024102915102719835)
105	651	gamma	(40936.63191534826, -286.54354139459724, 0.007119350098889644)
106	652	lognorm	(0.03727897367353783, -34.10694248100117, 39.020326155036095)
107	653	lognorm	(0.008566607869822527, -162.4373522874153, 167.2858655304678)
108	654	lognorm	(0.030953554890280073, -43.006861427856, 47.91134462521292)
109	655	lognorm	(0.024219182077170477, -53.03180700895132, 57.84778415403557)
110	656	lognorm	(0.016381808251746316, -86.51637813959843, 91.26269123855715)
111	657	gamma	(1907.7409996513397, -56.36307911911632, 0.03211008861797729)
112	658	weibull_min	(3.52973176323974, 0.17974271659406424, 5.251006077997244)
113	659	gamma	(95.87425831111696, -9.66198815679963, 0.15208345100166043)
114	660	gamma	(138.2678517536201, -11.673274309424833, 0.11983918406481292)
115	661	lognorm	(0.008909020940607791, -159.77142180130406, 164.58308113047386)
116	662	lognorm	(0.039372323640052775, -30.660703900125263, 35.526981242679874)
117	663	lognorm	(0.01951635298258341, -71.26041512227627, 76.14881907454567)
118	664	gamma	(44216.705277339934, -295.47164363656844, 0.006794781575543342)
119	665	gamma	(5127.612565357145, -101.0786199384182, 0.020654893380284506)
