########################################
#Creatin 40 instances with tightness: 0.4
########################################
615	369	5385.152537929562
471	390	4408.589695147396
33	781	8113.700264008903
61	932	6566.125943494296
393	897	7508.217962177028
788	517	9511.4841706055
195	882	8180.413484266924
49	901	7107.3476581053965
561	896	5752.023584133795
768	463	5866.713229960915
394	349	5519.133318703444
2	780	6105.28825067051
229	883	6149.597988570216
370	365	11469.641376345004
849	378	8967.966299508087
526	781	8103.075263874722
562	929	4709.5034490580965
14	353	5476.071041236719
278	384	5323.282717009034
507	389	5850.097875458247
352	785	10673.231284625219
217	347	8383.420822499493
561	239	6023.626308622607
660	920	7402.594615986269
225	348	7185.327203165777
284	376	6853.663773641434
723	911	7468.942666365783
893	379	9138.989397601112
393	910	7336.187464891586
149	930	6340.9890047706485
214	443	7993.50141538734
875	378	7196.196468362761
96	801	5926.074305469655
917	911	10863.46899989997
608	894	6004.828655657584
171	892	6364.44082675718
365	255	9624.036945626158
217	911	8581.292592859403
525	248	6891.914063783113
98	914	6043.433975715957
