Node	X	Y
1	690309.0	1976022.0	
2	683649.0	1973025.0	
3	693306.0	1963368.0	
4	686313.0	1958373.0	
5	696636.0	1946718.0	
6	671328.0	1968030.0	
7	676323.0	1957041.0	
8	655677.0	1967031.0	
9	649350.0	1952712.0	
10	665667.0	1949049.0	
11	666333.0	1933398.0	
12	676323.0	1935396.0	
13	677988.0	1924407.0	
14	679653.0	1945719.0	
15	688977.0	1936062.0	
16	692307.0	1925739.0	
17	700965.0	1935396.0	
18	702963.0	1927404.0	
19	704295.0	1919412.0	
20	678654.0	1912752.0	
21	691641.0	1917747.0	
22	705294.0	1911087.0	
23	693972.0	1906425.0	
24	679653.0	1904760.0	
25	664002.0	1893771.0	
26	680652.0	1891107.0	
27	694971.0	1889775.0	
28	707625.0	1900098.0	
29	710955.0	1884447.0	
30	680319.0	1878120.0	
31	696303.0	1873791.0	
32	689643.0	1861803.0	
33	705627.0	1851147.0	
34	705960.0	1865133.0	
35	722610.0	1876122.0	
36	723609.0	1856142.0	
37	625374.0	1965033.0	
38	550449.0	2013984.0	
39	590076.0	2021310.0	
40	573426.0	2021310.0	
41	590076.0	2005326.0	
42	573759.0	2005326.0	
43	622377.0	2020977.0	
44	606060.0	2021310.0	
45	622377.0	2005326.0	
46	605727.0	2004660.0	
47	654345.0	2021310.0	
48	638361.0	2021310.0	
49	654012.0	2005326.0	
50	638361.0	2005326.0	
51	667998.0	2020311.0	
52	683982.0	2001330.0	
53	670329.0	2004660.0	
54	551448.0	1990341.0	
55	534798.0	1989675.0	
56	551448.0	1976022.0	
57	534798.0	1976022.0	
58	582750.0	1991340.0	
59	567099.0	1990674.0	
60	582750.0	1977687.0	
61	567099.0	1977021.0	
62	613386.0	1991673.0	
63	598068.0	1991340.0	
64	613386.0	1978020.0	
65	598401.0	1977687.0	
66	644688.0	1992006.0	
67	629037.0	1992006.0	
68	644688.0	1979352.0	
69	629370.0	1979019.0	
70	677655.0	1991673.0	
71	660672.0	1992339.0	
72	676989.0	1981350.0	
73	661005.0	1981350.0	
74	687978.0	1992006.0	
75	687978.0	1984347.0	
76	635697.0	1963035.0	
77	629037.0	1946718.0	
78	645021.0	1945053.0	
79	650016.0	1958706.0	
80	646020.0	1930401.0	
81	629370.0	1930068.0	
82	646020.0	1914750.0	
83	630369.0	1913751.0	
84	657342.0	1930734.0	
85	663003.0	1914750.0	
86	647019.0	1898433.0	
87	631035.0	1897767.0	
88	647019.0	1882116.0	
89	631035.0	1881450.0	
90	662337.0	1902762.0	
91	663003.0	1882116.0	
92	608058.0	1847151.0	
93	647685.0	1866132.0	
94	631701.0	1865466.0	
95	648018.0	1849482.0	
96	632367.0	1849482.0	
97	679320.0	1869129.0	
98	663669.0	1866465.0	
99	680652.0	1847151.0	
100	664002.0	1850148.0	
101	694305.0	1846152.0	
