761	376	2307.7565944069133	2236.0	2292.0
217	268	4411.691785621818	4023.0	4392.0
897	477	3826.187812767633	3594.0	3964.0
274	84	3412.782900917135	3275.0	3525.0
478	448	2171.8579867214735	1954.0	2203.0
818	70	4638.151495712171	4231.0	4622.0
918	159	7152.624654821395	6044.0	7090.0
788	488	4073.781930121615	3623.0	4446.0
663	902	1779.8645334300625	1638.0	1770.0
865	757	4139.927842124992	3842.0	4220.0
221	195	1724.6755640657636	1620.0	1709.0
517	444	2850.987010986319	2811.0	2846.0
143	417	2445.5372910694946	2177.0	2435.0
245	62	3534.5296907488237	3420.0	3503.0
450	223	5125.835441116478	4559.0	5036.0
729	353	5852.1800395684695	5621.0	5888.0
216	61	2973.710166103208	2792.0	2969.0
211	144	3172.013825722961	3072.0	3422.0
852	831	2668.981141237453	2600.0	2661.0
735	382	5003.1443519119075	4846.0	4994.0
496	808	3111.7503211345393	2921.0	3095.0
383	782	9761.715686334588	9166.0	10166.0
53	57	2744.051314680107	2711.0	2967.0
49	306	4757.772626687394	4522.0	4734.0
873	622	5035.248322877231	4933.0	5007.0
465	764	6049.794536717659	5779.0	6035.0
672	300	3817.9538627841034	3697.0	3804.0
184	280	2662.7988135725495	2575.0	2698.0
477	546	2771.1536865171975	2538.0	2760.0
25	651	1722.5230561103926	1679.0	1713.0
233	111	4479.680802197325	4205.0	5023.0
220	472	4293.978651938544	4211.0	4245.0
579	519	1193.9510758473436	1116.0	1319.0
613	911	6145.5801801525295	5770.0	6506.0
109	850	1721.9627520149209	1576.0	1715.0
168	72	4411.385995650785	4141.0	4356.0
386	322	5355.791031484897	5294.0	5906.0
237	610	4119.087343746295	3867.0	4384.0
542	750	6468.4002518164425	6073.0	6484.0
492	661	2295.317236045916	2032.0	2291.0
176	371	3674.0660223001887	3514.0	3661.0
387	504	4341.831241120716	3864.0	4429.0
860	356	2101.4515490747795	2020.0	2192.0
